,track_id,track,artist,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo
0,3e9HZxeyfWwjeyPAMmWSSQ,,,207320,1,1,4,0.229,0.717,0.653,0.0,0.101,-5.634,0.0658,0.412,106.966
1,5p7ujcrUXASCNwRaWNHR1C,,,201661,6,1,4,0.297,0.752,0.488,9.11e-06,0.0936,-7.05,0.0705,0.533,136.041
2,2xLMifQCjDGFmkHkpNLD9h,,,312820,8,1,4,0.00513,0.834,0.73,0.0,0.124,-3.714,0.222,0.446,155.008
3,3KkXRkHbMCARz0aVfEt68P,,,158040,2,1,4,0.556,0.76,0.479,0.0,0.0703,-5.574,0.0466,0.913,89.911
4,1rqqCSm0Qe4I9rUvWncaom,,,190947,5,1,4,0.193,0.579,0.904,0.0,0.064,-2.729,0.0618,0.681,82.014
5,0bYg9bo50gSsH3LtXe2SQn,,,241107,7,1,4,0.164,0.335,0.625,0.0,0.0708,-7.462,0.0386,0.346,150.277
6,5hslUAKq9I9CG2bAulFkHN,,,151933,7,1,3,0.766,0.24,0.598,0.0,0.117,-8.435,0.037,0.776,202.082
7,2EjXfH91m7f8HiJN1yQg97,,,126267,8,1,4,0.614,0.589,0.472,0.0,0.505,-8.749,0.0502,0.898,67.196
8,0MMSmg7zyo6pOKZrfHUOqu,,,133547,0,1,4,0.685,0.665,0.398,0.0,0.172,-11.886,0.03,0.864,140.456
9,6Z924AupOiJLdnAKH6UgCu,,,130973,2,1,4,0.651,0.757,0.428,0.0,0.0644,-8.537,0.036,0.816,119.813
10,1xzBco0xcoJEDXktl7Jxrr,,,183907,4,1,4,0.194,0.729,0.625,0.00986,0.248,-5.266,0.0315,0.261,146.034
11,4PS1e8f2LvuTFgUs1Cn3ON,,,192160,1,1,4,0.92,0.319,0.21,8.06e-05,0.138,-15.231,0.0341,0.209,78.696
12,4OafepJy2teCjYJbvFE60J,,,198160,8,1,4,0.0211,0.568,0.656,1.37e-05,0.213,-5.413,0.0433,0.364,100.049
13,55S2PQgSMYAhgoTCcGCDfw,,,203418,7,0,4,0.0169,0.596,0.854,0.0,0.124,-5.114,0.463,0.152,120.274
14,7dt6x5M1jzdTEt8oCbisTK,,,231267,10,1,4,0.354,0.68,0.563,0.0,0.136,-5.843,0.0454,0.374,145.028
15,285pBltuF7vW8TeWk8hdRR,,,239836,6,0,4,0.349,0.511,0.566,0.0,0.34,-7.23,0.2,0.218,83.903
16,39LmTF9RgyakzSYX8txrow,,,212267,8,1,3,0.378,0.729,0.475,0.0,0.12,-4.985,0.0364,0.371,62.52
17,2FRnf9qhLbvw8fu4IBXx78,,,262960,2,1,4,0.189,0.735,0.478,2.48e-06,0.355,-12.472,0.0293,0.947,107.682
18,1dtIaSlyrLI04sqYa8nLyN,,,186733,8,1,4,0.883,0.632,0.159,0.0,0.222,-14.056,0.0492,0.644,142.11
19,6CTWathupIiDs7U4InHnDA,,,213993,11,0,4,0.225,0.477,0.61,0.0,0.107,-5.628,0.144,0.358,79.882
20,2GGMabyHXnJmjY6CXhhB2e,,,183527,8,0,4,0.00534,0.95,0.59,0.0,0.11,-6.508,0.29,0.219,130.003
21,14mHfNsSHN0FbLftyjrV9g,,,195637,7,1,4,0.107,0.792,0.743,0.0,0.183,-2.806,0.0851,0.742,150.024
22,2uFaJJtFpPDc5Pa95XzTvg,,,117147,1,1,4,0.912,0.452,0.24,2.45e-06,0.175,-14.014,0.0351,0.701,134.005
23,5ASM6Qjiav2xPe7gRkQMsQ,,,181267,2,1,4,0.403,0.528,0.772,2.52e-06,0.316,-7.013,0.0288,0.852,91.735
24,7taXf5odg9xCAZERYfyOkS,,,182360,2,1,4,0.534,0.485,0.857,0.0,0.347,-7.059,0.0442,0.963,148.749
25,25leEEaz1gIpp7o21Fqyjo,,,150267,1,1,4,0.799,0.834,0.372,0.0,0.275,-11.99,0.0358,0.976,96.628
26,3GJ4hzg4lrGwU51Y3VARbF,,,213387,1,1,4,0.356,0.616,0.438,0.0,0.24,-5.968,0.0298,0.386,135.929
27,0U2pP3HpalMInP1lOhECsw,,,202998,6,1,4,0.478,0.731,0.587,0.0,0.106,-8.577,0.0604,0.373,144.025
28,4T3fNx3CgwDRRYgmFCbD4J,,,229413,0,0,4,0.0984,0.442,0.585,0.391,0.14,-10.332,0.0964,0.116,97.565
29,3T6Lsd2qR4nk92hwxJ5sBW,,,175800,5,1,4,0.769,0.541,0.441,0.0,0.509,-9.692,0.061,0.499,144.03
